Language Code,Language Name,App Title (max 30),Short Description (max 80),Full Description (Long)
vi-VN,Vietnamese (Tiếng Việt),Heuristic E-Ink Reader,Trình đọc EPUB & PDF êm dịu cho mắt với vân giấy E-Paper và lật trang 3D sống động.,"Heuristic E-Ink Reader biến điện thoại của bạn thành máy đọc sách E-Paper không chói lóa, mang lại trải nghiệm đọc sách giấy thư thái.

TÍNH NĂNG NỔI BẬT:
• Mô phỏng E-Paper Chân Thực: 16 mức thang xám, thuật toán khử răng cưa Atkinson và làm mới LUT.
• Lật Trang 3D Chân Thực: Hiệu ứng uốn cong trang sách mượt mà theo ngón tay với WebGL Three.js.
• Vân Giấy Tự Nhiên: Giấy thủ công viền thô (Deckle Edge), giấy da cổ điển và giấy bông.
• Đọc Cả EPUB & PDF: Tự động dàn trang mượt mà cho EPUB và hiển thị PDF vector sắc nét.
• Kiểu Chữ Sách In Cổ Điển: Font EB Garamond, căn đều hai bên và độ chìm mực in sắc sảo.
• Chế Độ Đêm Chống Lóa: Bảo vệ mắt tối đa khi đọc sách trong không gian tối.
• 100% Ngoại Tuyến & Riêng Tư: Không quảng cáo, không theo dõi. Sách của bạn luôn an toàn trên máy."
th-TH,Thai (ไทย),Heuristic E-Ink Reader,แอปอ่าน EPUB และ PDF ถนอมสายตา ด้วยผิวสัมผัสกระดาษ E-Paper และพลิกหน้าแบบ 3D,"Heuristic E-Ink Reader เปลี่ยนหน้าจอมือถือของคุณให้เป็นเครื่องอ่านหนังสือ E-Paper ที่สบายตา ปราศจากแสงสะท้อน ราวกับอ่านกระดาษจริง

จุดเด่นสำคัญ:
• จำลอง E-Paper เสมือนจริง: แสดงผลเกรย์สเกล 16 ระดับ พร้อมอัลกอริทึม Dithering ขั้นสูง
• พลิกหน้าหนังสือแบบ 3D: เทคโนโลยี WebGL Three.js ให้ความรู้สึกโค้งงอของกระดาษตามนิ้วสัมผัส
• สัมผัสพื้นผิวกระดาษจริง: กระดาษขอบหยักทำมือ (Deckle Edge), กระดาษพาร์ชเมนต์ และกระดาษฝ้าย
• รองรับทั้ง EPUB และ PDF: จัดหน้าหนังสืออัตโนมัติ และแสดงผล PDF แบบเวกเตอร์คมชัด
• ตัวพิมพ์สไตล์หนังสือคลาสสิก: ฟอนต์สวยงาม จัดแนวหน้ากระดาษเป็นระเบียบ และความลึกของหมึกพิมพ์
• โหมดกลางคืนถนอมสายตา: ป้องกันแสงฟุ้งกระจาย ลดความเมื่อยล้าของดวงตาในที่มืด
• ปลอดภัยและออฟไลน์ 100%: ไม่มีโฆษณา ไม่มีการติดตามข้อมูล หนังสือของคุณจะอยู่บนเครื่องเท่านั้น"
ms,Malay (Bahasa Melayu),Heuristic E-Ink Reader,Pembaca EPUB & PDF mesra mata dengan tekstur kertas E-Paper dan selak halaman 3D.,"Heuristic E-Ink Reader menukar peranti anda menjadi pembaca E-Paper yang tenang, bebas silau dan selesa untuk mata seperti buku fizikal.

CIRI-CIRI UTAMA:
• Simulasi E-Paper Sebenar: 16 tahap skala kelabu, algoritma Atkinson dan segar semula LUT.
• Selak Halaman 3D Realistik: Lenturan kertas fizikal berkuasa WebGL Three.js mengikut sentuhan jari.
• Tekstur Kertas Fizikal: Kertas buatan tangan (Deckle Edge), perkamen vintaj dan kertas kapas.
• Sokongan Dwi EPUB & PDF: Susun atur teks dinamik dan paparan PDF vektor yang tajam.
• Tipografi Buku Cetak: Fon EB Garamond, jajaran penuh kedua-dua belah dan kedalaman dakwat cap.
• Mod Malam Anti-Halasi: Melindungi mata daripada silau ketika membaca dalam gelap.
• 100% Luar Talian & Privasi: Tanpa iklan, tanpa penjejakan. Buku anda kekal selamat dalam peranti."
he-IL,Hebrew (עברית),Heuristic E-Ink Reader,קורא EPUB ו-PDF נוח לעיניים עם מרקם נייר E-Paper ודפדוף תלת-ממדי מציאותי.,"אפליקציית Heuristic E-Ink Reader הופכת את מסך הטלפון לקורא ספרים אלקטרוני רגוע ונטול השתקפויות, המדמה קריאה בספר אמיתי.

תכונות עיקריות:
• הדמיית E-Paper מתקדמת: 16 גווני אפור, אלגוריתמי דיתרינג ורענון גלי מתח מדויק.
• דפדוף תלת-ממדי טבעי: כיפוף דפים פיזיקלי וזורם בתגובה למגע בעזרת WebGL Three.js.
• מרקמי נייר אותנטיים: נייר גס עם שוליים טבעיים (Deckle Edge), קלף עתיק ונייר כותנה.
• תמיכה כפולה ב-EPUB ו-PDF: עימוד טקסט חי ודינמי לצד תצוגת PDF וקטורית וחדה.
• טיפוגרפיה איכותית: יישור שורות מושלם, גופנים ספרותיים ועומק דיו של דפוס בלט.
• מצב לילה למניעת סינוור: שומר על העיניים בחושך ומונע הילות אור סביב הטקסט.
• 100% לא מקוון ובטוח: ללא פרסומות וללא מעקב נתונים. הספרים נשמרים במכשירך בלבד."
az-AZ,Azerbaijani (Azərbaycanca),Heuristic E-Ink Reader,"Göz yormayan, real E-Paper kağız teksturası və 3D səhifə çevirməsi olan EPUB & PDF oxucu.","Heuristic E-Ink Reader mobil cihazınızın ekranını parıltısız və rahat bir E-Paper elektron kitabına çevirir.

ƏSAS XÜSUSİYYƏTLƏR:
• Real E-Paper Simulyasiyası: 16 səviyyəli boz tonlama, Atkinson dither alqoritmi və LUT dalğa yenilənməsi.
• 3D Real Səhifə Çevirmə: WebGL Three.js ilə barmaq toxunuşuna həssas təbii kağız bükülməsi.
• Orijinal Kağız Teksturaları: Tırtıllı kəsimli (Deckle Edge), perqament və pambıq kağız növləri.
• EPUB və PDF Dəstəyi: Dinamik mətn axını və yüksək dəqiqlikli vektor PDF oxunuşu.
• Mətbəə Tipoqrafiyası: EB Garamond və Literata şriftləri, hər iki tərəfə bərabər düzlənmə.
• Qaranlıqda Anti-Halasiya Rejimi: Qaranlıqda göz yorğunluğunu və işıq saçılmasını tam aradan qaldırır.
• 100% Oflayn və Təhlükəsiz: Reklamsız, izləməsiz. Kitablarınız yalnız cihazınızda saxlanılır."
kk-KZ,Kazakh (Қазақша),Heuristic E-Ink Reader,"Көзді шаршатпайтын, E-Paper қағаз құрылымы мен 3D парақтауы бар EPUB & PDF оқу құралы.","Heuristic E-Ink Reader смартфоныңыздың экранын көзді талдырмайтын, шынайы кітап сезімін сыйлайтын электронды қағазға (E-Paper) айналдырады.

БАСТЫ МҮМКІНДІКТЕРІ:
• Шынайы E-Paper симуляциясы: 16 деңгейлі сұр реңк, Atkinson дизерингі және LUT жаңартуы.
• 3D қағаз парақтау: WebGL Three.js арқылы саусақ қозғалысына сай табиғи иілетін беттер.
• Нағыз қағаз құрылымы: Қолдан жасалған жиектері бар қағаз, пергамент және мақта қағазы.
• EPUB және PDF қолдауы: Мәтінді ыңғайлы реттеу және анық векторлық PDF көрсету.
• Баспаханалық типографика: Сапалы қаріптер, мінсіз түзету және сия басылымының тереңдігі.
• Түнгі оқу режімі: Қараңғыда көздің шаршауын және жарық шағылысуын болдырмайды.
• 100% Офлайн және Қауіпсіз: Жарнамасыз, бақылаусыз. Кітаптарыңыз тек құрылғыңызда сақталады."
uz-UZ,Uzbek (O'zbekcha),Heuristic E-Ink Reader,"Ko'zni toliqtirmaydigan, E-Paper qog'oz teksturasi va 3D sahifa varaqlashli EPUB & PDF kitobxoni.","Heuristic E-Ink Reader telefoningiz ekranini ko'zga qulay, nur qaytarmaydigan haqiqiy elektron qog'oz (E-Paper) kitobxonga aylantiradi.

ASOSIY IMKONIYATLAR:
• Haqiqiy E-Paper Simulyatsiyasi: 16 darajali kulrang tus, Atkinson ditheri va LUT to'lqin yangilanishi.
• 3D Sahifa Varaqlash: WebGL Three.js orqali barmoq harakatiga mos tabiiy qog'oz bukilishi.
• Tabiiy Qog'oz Teksturalari: Qirralari kesilmagan qo'lbola qog'oz (Deckle Edge), pergament va paxta qog'oz.
• EPUB va PDF Dvigateli: Matnni qulay taqsimlash va yuqori sifatli vektorli PDF o'qish.
• Bosmaxona Tipografikasi: Mukammal tekislash, sifatli shriftlar va bosma siyoh chuqurligi.
• Tungi Rejim: Qorong'ida ko'z qamashishi va charchashining oldini oladi.
• 100% Oflayn va Maxfiy: Reklamasiz, kuzatuvsiz. Kitoblaringiz faqat qurilmangizda saqlanadi."
bg-BG,Bulgarian (Български),Heuristic E-Ink Reader,Щадящ зрението четец за EPUB и PDF с текстура на E-Paper хартия и 3D прелистване.,"Heuristic E-Ink Reader превръща екрана на вашето устройство в матов E-Paper четец без отблясъци за спокойно и комфортно четене.

ОСНОВНИ ХАРАКТЕРИСТИКИ:
• Реалистична E-Paper симулация: 16 нива на сивото, дитеринг на Аткинсън и LUT обновяване.
• 3D прелистване на страници: Естествено огъване на хартията при докосване с WebGL Three.js.
• Автентични текстури на хартия: Ръчна хартия с неравни краища (Deckle Edge), пергамент и памук.
• Поддръжка на EPUB и PDF: Динамично преоформяне на текста и кристално чисто PDF визуализиране.
• Класическа типография: Шрифтове EB Garamond, двустранно подравняване и дълбочина на мастилото.
• Нощен режим Anti-Halation: Премахва ореолите и напрежението в очите при четене на тъмно.
• 100% Офлайн и безопасно: Без реклами, без проследяване. Книгите остават единствено на вашето устройство."
hr-HR,Croatian (Hrvatski),Heuristic E-Ink Reader,Ugodan EPUB i PDF čitač s teksturom E-Paper papira i 3D listanjem stranica.,"Heuristic E-Ink Reader pretvara vaš mobilni zaslon u nereflektirajući E-Paper e-čitač s opuštajućim osjećajem prave knjige.

GLAVNE ZNAČAJKE:
• Realistična E-Paper Simulacija: 16 razina sivih tonova, Atkinsonov dithering i osvježavanje LUT-a.
• 3D Okretanje Stranica: Fizičko savijanje stranica na dodir prsta pomoću WebGL Three.js.
• Fizičke Teksture Papira: Ručno rađeni papir s grubim rubovima (Deckle Edge), pergament i pamuk.
• Podrška za EPUB i PDF: Prilagodljiv prijelom teksta i oštar vektorski prikaz PDF-a.
• Knjiška Tipografija: Fontovi EB Garamond, obostrano poravnanje i dubina tiskarske tinte.
• Noćni Način Protiv Zamućenja: Štiti vid u mraku i sprječava naprezanje očiju.
• 100% Izvanmrežno i Privatno: Bez reklama i praćenja. Vaše knjige ostaju samo na vašem uređaju."
sr-RS,Serbian (Srpski),Heuristic E-Ink Reader,Угодан EPUB и PDF читач са текстуром E-Paper папира и 3D окретањем страница.,"Heuristic E-Ink Reader претвара екран вашег мобилног уређаја у матов E-Paper читач без одсјаја за пријатно читање без замора очију.

ГЛАВНЕ КАРАКТЕРИСТИКЕ:
• Реална E-Paper симулација: 16 нијанси сиве, Аткинсонов дитеринг и LUT освежавање.
• 3D окретање страница: Природно савијање страница на додир покретано WebGL Three.js мотором.
• Аутентичне текстуре папира: Ручно прављени папир грубих ивица (Deckle Edge), пергамент и памук.
• Подршка за EPUB и PDF: Течно преламање текста и кристално јасан векторски PDF приказ.
• Књишка типографија: EB Garamond писма, обострано равнање и утисак штампарске боје.
• Ноћни режим без ореола: Елиминише напрезање очију током читања у мраку.
• 100% Ван мреже и безбедно: Без реклама и праћења. Књиге се чувају искључиво на вашем уређају."
sk-SK,Slovak (Slovenčina),Heuristic E-Ink Reader,Čítačka EPUB a PDF šetrná k očiam s textúrou papiera E-Paper a 3D otáčaním strán.,"Heuristic E-Ink Reader premení displej vášho smartfónu na matnú elektronickú čítačku E-Paper pre ničím nerušený čitateľský zážitok.

HLAVNÉ VLASTNOSTI:
• Verná simulácia E-Paper: 16 úrovní odtieňov sivej, Atkinsonovo dithering a obnova LUT krivky.
• 3D otáčanie strán: Fyzikálne ohýbanie listov knihy pri dotyku poháňané WebGL Three.js.
• Autentické textúry papiera: Ručný papier s hrubým okrajom (Deckle Edge), pergamen a bavlna.
• Podpora EPUB a PDF: Plynulá sadzba textu a dokonale ostré vektorové vykresľovanie PDF.
• Tradičná typografia: Písma EB Garamond a Literata, zarovnanie do bloku a hĺbka kníhtlače.
• Nočný režim Anti-Halation: Chráni zrak v tme a zabraňuje vzniku svetelných kruhov okolo písma.
• 100% Offline a bezpečné: Bez reklám a sledovania údajov. Vaše knihy zostávajú iba vo vašom zariadení."
